bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
MO:2026:HB3222,MO,Missouri,HB 3222,House,Requires a school district or charter school to terminate employment if an employee who is being investigated for sexual misconduct attempts to resign,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3223,MO,Missouri,HB 3223,House,Designates February as miscarriage awareness month in Missouri,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3224,MO,Missouri,HB 3224,House,"Provides that the Sheriff of the City of St. Louis shall be appointed by the judges of the 22nd Judicial Circuit, rather than elected",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3225,MO,Missouri,HB 3225,House,Modifies provisions relating to tort actions based on improper health care,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3226,MO,Missouri,HB 3226,House,"Creates the ""Missouri Earned Family and Medical Leave Act""",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3227,MO,Missouri,HB 3227,House,Modifies provisions for voter registration,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3228,MO,Missouri,HB 3228,House,Establishes provisions providing teachers with immunity if the teacher intervenes in incidents involving violence,bill,introduced,active,,,,,2026-02-25,1,legiscan,6200000,0,0,,131,
MO:2026:HB3229,MO,Missouri,HB 3229,House,Adds a circuit judge to the 25th judicial circuit,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3230,MO,Missouri,HB 3230,House,Creates new provisions for zoning regulations for manufactured housing,bill,introduced,active,,,,,2026-05-07,1,legiscan,6200000,0,0,,60,
MO:2026:HB3231,MO,Missouri,HB 3231,House,"Establishes the ""Missouri Innovation, Public Safety, and Accountability Act""",bill,passed_chamber,active,Brad Christ,Republican,,2026-02-09,2026-05-28,2,"legiscan,openstates",6200000,0,1,108.0,39,
MO:2026:HB3232,MO,Missouri,HB 3232,House,"Requires utility companies with more than twenty-five percent foreign ownership to divest by December 31, 2041",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
